City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Itambe,BR,-15.245,-40.6244,72.0,94,86,3.56,overcast clouds
268,Alizai,PK,33.5383,70.3462,62.38,25,59,1.28,broken clouds
269,Yarim,YE,14.298,44.3779,56.39,57,73,1.41,broken clouds
270,Jiuquan,CN,39.7432,98.5174,41.05,81,100,2.8,overcast clouds
271,Chicla,PE,-11.705,-76.2686,44.53,93,100,2.75,overcast clouds
272,Coihaique,CL,-45.5752,-72.0662,55.4,62,75,13.8,broken clouds
273,Monrovia,LR,6.3005,-10.7969,78.8,94,20,8.25,mist
274,Ponta Delgada,PT,37.7333,-25.6667,60.8,82,75,20.71,broken clouds
275,Qandala,SO,11.472,49.8728,79.21,59,55,3.02,broken clouds
276,Yoichi,JP,43.2039,140.7703,42.8,93,75,9.22,moderate rain
277,Deniliquin,AU,-35.5333,144.9667,69.13,49,0,1.52,clear sky
278,Pasighat,IN,28.0667,95.3333,65.41,60,29,5.5,scattered clouds
279,Aden,YE,12.7794,45.0367,80.73,63,58,5.91,broken clouds
280,Mosquera,CO,4.7059,-74.2302,64.4,72,75,8.05,broken clouds
281,Salalah,OM,17.0151,54.0924,78.8,83,0,3.44,clear sky
282,Hofn,IS,64.2539,-15.2082,40.64,90,83,16.51,broken clouds
283,Palmas,BR,-10.2128,-48.3603,87.8,62,20,2.3,few clouds
284,Mardin,TR,37.3131,40.7436,50.0,62,0,4.61,clear sky
285,Agadez,NE,19.75,10.25,71.31,11,1,5.91,clear sky
286,Nanortalik,GL,60.1432,-45.2371,35.74,99,100,2.68,light rain
287,Belmonte,BR,-15.8631,-38.8828,77.0,88,75,1.14,broken clouds
288,Olinda,BR,-8.0089,-34.8553,78.8,78,75,11.5,broken clouds
289,Bud,US,39.447,-86.1758,64.4,24,1,13.8,clear sky
290,North Bend,US,43.4065,-124.2243,60.01,71,1,14.97,clear sky
291,Plettenberg Bay,ZA,-34.0527,23.3716,64.94,58,22,4.85,few clouds
292,Chapais,CA,49.7834,-74.8492,39.2,20,1,5.75,clear sky
293,Lowestoft,GB,52.4752,1.7516,43.0,77,93,4.0,overcast clouds
294,Dubovskoye,RU,47.4092,42.7575,47.44,88,100,14.58,overcast clouds
295,Mezen,RU,65.8522,44.24,19.65,97,65,1.9,broken clouds
296,Manjacaze,MZ,-24.7117,33.8828,71.73,80,50,9.42,light rain
297,Barrow,US,71.2906,-156.7887,-16.6,83,40,3.44,mist
298,Tepechitlan,MX,21.6667,-103.3333,80.24,25,99,1.9,overcast clouds
299,Kalmunai,LK,7.4167,81.8167,78.73,86,79,5.95,broken clouds
300,Bull Savanna,JM,17.8868,-77.5902,78.4,66,67,6.46,broken clouds
301,Gigmoto,PH,13.7796,124.39,79.25,79,73,7.7,broken clouds
302,Cabul-An,PH,10.15,124.05,77.0,88,40,4.61,scattered clouds
303,Kiama,AU,-34.6833,150.8667,64.0,90,10,8.25,clear sky
304,Porto Novo,BJ,6.4965,2.6036,84.2,84,20,12.66,few clouds
305,Banda Aceh,ID,5.5577,95.3222,79.47,76,88,11.54,overcast clouds
306,Salina Cruz,MX,16.1667,-95.2,87.6,37,0,28.92,clear sky
307,Karnobat,BG,42.65,26.9833,51.8,100,90,1.14,mist
308,Ust-Ishim,RU,57.6935,71.1665,29.77,92,100,6.76,overcast clouds
309,Sakakah,SA,29.9697,40.2064,57.2,24,0,5.75,clear sky
310,Ajdabiya,LY,30.7554,20.2263,72.14,23,6,13.13,clear sky
311,New Milford,US,40.9327,-74.0179,55.0,20,1,6.91,clear sky
312,Faanui,PF,-16.4833,-151.75,81.63,73,12,8.25,few clouds
313,Constitucion,CL,-35.3333,-72.4167,61.77,70,6,9.93,clear sky
314,Sestroretsk,RU,60.098,29.9638,35.01,80,0,4.47,light snow
315,Ambilobe,MG,-13.2,49.05,73.13,94,1,3.06,clear sky
316,Nizwa,OM,22.9333,57.5333,78.96,15,0,4.14,clear sky
317,Gladstone,AU,-23.85,151.25,71.6,88,90,17.27,light rain
318,Yumen,CN,40.2833,97.2,41.99,75,100,13.49,overcast clouds
319,Salinopolis,BR,-0.6136,-47.3561,76.53,94,100,12.44,light rain
320,Poum,NC,-20.2333,164.0167,79.95,83,86,16.15,overcast clouds
321,Gat,IL,31.61,34.7642,57.0,91,0,1.99,clear sky
322,Nome,US,64.5011,-165.4064,21.2,79,90,6.91,light snow
323,Necochea,AR,-38.5473,-58.7368,73.0,59,60,10.0,broken clouds
324,Mana,GF,5.6592,-53.7767,77.31,89,100,11.27,overcast clouds
325,Benguela,AO,-12.5763,13.4055,80.28,84,65,1.07,broken clouds
326,Ossora,RU,59.2353,163.0719,9.18,75,68,3.56,broken clouds
327,Flin Flon,CA,54.7682,-101.865,48.2,31,40,10.36,scattered clouds
328,Belaya Gora,RU,68.5333,146.4167,-8.5,96,54,1.9,broken clouds
329,Ipu,BR,-4.3222,-40.7108,76.59,80,80,3.98,heavy intensity rain
330,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,0,8.05,clear sky
331,Jacareacanga,BR,-6.2222,-57.7528,75.74,95,67,2.55,light rain
332,Beidao,CN,34.5686,105.8933,43.11,91,100,2.98,overcast clouds
333,Yatou,CN,37.15,122.3833,42.58,49,13,20.2,few clouds
334,Gornyy,RU,55.1153,83.9059,17.94,95,21,6.78,few clouds
335,Vardo,NO,70.3705,31.1107,33.76,80,100,29.28,overcast clouds
336,Vagur,FO,61.4732,-6.8119,45.05,86,6,31.85,clear sky
337,Charters Towers,AU,-20.1,146.2667,69.55,85,96,12.28,overcast clouds
338,Hailar,CN,49.2,119.7,31.46,48,59,12.71,broken clouds
339,Luanda,AO,-8.8368,13.2343,78.8,94,75,2.3,moderate rain
340,Port Lincoln,AU,-34.7333,135.8667,66.69,80,0,5.37,moderate rain
341,Longkou,CN,37.6508,120.3286,43.12,61,0,15.39,clear sky
342,Bahia Honda,CU,22.9036,-83.1592,74.25,56,61,18.19,broken clouds
343,Halifax,CA,44.6453,-63.5724,36.0,80,100,9.22,overcast clouds
344,Youghal,IE,51.95,-7.8506,45.0,93,20,3.44,few clouds
345,Adra,ES,36.7496,-3.0206,63.0,67,0,4.61,clear sky
346,Sao Sebastiao,BR,-23.76,-45.4097,72.86,86,67,2.24,broken clouds
